Title,URL,Text,Tag,Author,Date
"Religion, Secularism, and the Future of Liberalism",https://theobjectivestandard.com/2024/03/religion-secularism-and-the-future-of-liberalism/,"If we can’t support and defend the ideals of classical liberalism, we will lose them, one and all. Hence this vital discussion at LevelUp 2024 (Atlanta, GA, June 19–22).","Announcements, LevelUp News",Jackson Upmann,"March 12, 2024"
"The Triumph of Defeat: Lust, Wine, and Rock ‘n’ Roll",https://theobjectivestandard.com/2024/03/the-triumph-of-defeat-lust-wine-and-rock-n-roll/,"The success of many of today's popular musical artists evinces a broad cultural trend: the triumph of defeat—that is, the near-universal acceptance that we are but confused and helpless creatures.","Arts & Culture, Philosophy",Jon Hersey,"March 7, 2024"
Who is Carl Barney?,https://theobjectivestandard.com/2024/03/who-is-carl-barney/,"Carl Barney’s book-in-progress, “The Happiness Experiment,” explains his general approach to achieving success and happiness. And his talk at LevelUp 2024 (Atlanta, GA, June 19–22) will present a strategy he calls “Happiness Planning.”","Announcements, LevelUp News",Jackson Upmann,"March 7, 2024"
"From the Editor, Spring 2024",https://theobjectivestandard.com/2024/02/from-the-editor-spring-2024/,"Welcome to the Spring 2024 issue of The Objective Standard. This begins the journal’s nineteenth year in publication, and I’d like to thank everyone who subscribes and supports our work. It’s because of you that all of us at TOS get to do what we love doing, supporting reason, egoism, and capitalism.",Announcements,Jon Hersey,"February 22, 2024"
Capitalism in One Lesson: Capitalism Is the Only Practical System Because It Is the Only Moral System,https://theobjectivestandard.com/2024/02/capitalism-in-one-lesson/,"Whatever supports and furthers human life is morally good. Capitalism is the system that, from every standpoint and perspective, preeminently supports human life.","Economics, Politics & Rights",Andrew Bernstein,"February 22, 2024"
Davos 2024: Special Address,https://theobjectivestandard.com/2024/02/davos-2024-special-address/,"When I heard Argentina’s president, Javier Milei, address the World Economic Forum (WEF) in January, I shed tears of joy. I was blown away by his powerful defense of capitalism, his celebration of entrepreneurs as heroes, his incisive criticisms of collectivism and altruism, and his novel ideas on redefining socialism.",Politics & Rights,Javier Milei,"February 22, 2024"
America’s Rise and Fall among Nations: Lessons in Statecraft from John Quincy Adams by Angelo Codevilla,https://theobjectivestandard.com/2024/02/americas-rise-and-fall-among-nations-lessons-in-statecraft-from-john-quincy-adams-by-angelo-codevilla/,"America’s Rise and Fall among Nations provides a broad perspective of the course of American statecraft over the centuries, showing its arc from humble, inward-looking beginnings to grandiose ambitions after the 19th century.","History, Politics & Rights, Reviews",Bill Sanders,"February 22, 2024"
"Freedom’s Furies: How Isabel Paterson, Rose Wilder Lane, and Ayn Rand Found Liberty in an Age of Darkness by Timothy Sandefur",https://theobjectivestandard.com/2024/02/freedoms-furies-how-isabel-paterson-rose-wilder-lane-and-ayn-rand-found-liberty-in-an-age-of-darkness-by-timothy-sandefur/,"Timothy Sandefur’s Freedom’s Furies: How Isabel Paterson, Rose Wilder Lane, and Ayn Rand Found Liberty in an Age of Darkness describes how the three ""Furies"" radically opposed prevailing trends, became friends, and gave birth to the modern American liberty movement.","History, Politics & Rights, Reviews",Molly Sechrest,"February 22, 2024"
Early-bird savings for LevelUp extended to March 15,https://theobjectivestandard.com/2024/02/early-bird-savings-for-levelup-extended-to-march-15/,"Because we’re still developing the (amazing!) program for LevelUp 2024 (Atlanta, June 19–22), we’ve extended early-bird savings to March 15.","Announcements, LevelUp News",Jackson Upmann,"February 15, 2024"
The LevelUp 2024 Program Is Announced!,https://theobjectivestandard.com/2024/02/the-levelup-2024-program-is-announced/,"The program for LevelUp 2024 (Atlanta, June 19–22) has been posted—and it’s all about living fully and advancing liberty.","Announcements, LevelUp News",Jackson Upmann,"February 12, 2024"
Why It’s OK to Mind Your Own Business by Justin Tosi and Brandon Warmke,https://theobjectivestandard.com/2024/02/why-its-ok-to-mind-your-own-business-by-justin-tosi-and-brandon-warmke/,"The task of justifying a life aimed at self-improvement, flourishing, or ataraxia is a substantial one for writers on ethics. Unfortunately, Tosi and Warmke barely try.","Good Living, Philosophy, Reviews",Timothy Sandefur,"February 8, 2024"
A Note about Plagiarism in a TOS Review,https://theobjectivestandard.com/2024/01/barbie-written-and-directed-by-greta-gerwig/,"I recently discovered that the review of the Barbie movie published in TOS in September 2023 was largely plagiarized from a video by YouTuber Will Jordan (aka ""The Critical Drinker"").",Announcements,Craig Biddle,"January 19, 2024"
My Effin' Life by Geddy Lee,https://theobjectivestandard.com/2024/01/my-effin-life-by-geddy-lee/,"My Effin’ Life’s positive sense of life, inspirational stories, and amusing anecdotes make it a rewarding read. Geddy Lee leaves readers with a strong sense that no matter how bad things get, it’s always worth staying positive and producing beautiful art.","Arts & Culture, Reviews",Thomas Walker-Werth,"January 15, 2024"
"Individualism in Anthem, Jane Eyre, and The Giver",https://theobjectivestandard.com/2024/01/individualism-in-anthem-jane-eyre-and-the-giver/,"Many literary works depict individualist heroes struggling against collectivist societies, but three brilliant examples are Charlotte Brönte’s classic Jane Eyre, Lois Lowry’s award-winning young-adult novel The Giver, and Ayn Rand’s dystopian novella Anthem.","Arts & Culture, Philosophy",Angelica Walker-Werth,"January 12, 2024"
Here’s What Dreaming Louder Sounds Like,https://theobjectivestandard.com/2024/01/heres-what-dreaming-louder-sounds-like/,"Dream Louder drips with talent, but it is not mere “musician’s music”—technical pyrotechnics without soul. In fact, it is one of those rare jazz albums that even non-jazz fans can deeply enjoy.","Arts & Culture, Noteworthy, Reviews",Jon Hersey,"January 12, 2024"
Early-Bird Savings for LevelUp Europe Extended to February 1,https://theobjectivestandard.com/2024/01/early-bird-savings-for-levelup-europe-extended-to-february-1/,"Because we’re still fleshing out the roster and program for LevelUp Europe, we’ve extended early-bird savings through February 1. You can still save 20–50% on registration.","Announcements, LevelUp News",Jackson Upmann,"January 12, 2024"
